Closed Subgraphs for countries
The closed subgraph is ('A', 'A', 'A')
The closed subgraph is ('E', 'A', 'R')
The closed subgraph is ('E', 'A', 'Y')
The closed subgraph is ('E', 'E', 'A')
The closed subgraph is ('E', 'K', 'A')
The closed subgraph is ('E', 'N', 'A')
The closed subgraph is ('E', 'O', 'A')
The closed subgraph is ('E', 'Q', 'A')
The closed subgraph is ('E', 'R', 'A')
The closed subgraph is ('E', 'Y', 'A')
The closed subgraph is ('G', 'A', 'Y')
The closed subgraph is ('G', 'Y', 'A')
The closed subgraph is ('K', 'A', 'A')
The closed subgraph is ('K', 'A', 'E')
The closed subgraph is ('K', 'A', 'K')
The closed subgraph is ('K', 'A', 'N')
The closed subgraph is ('K', 'A', 'O')
The closed subgraph is ('K', 'A', 'Q')
The closed subgraph is ('K', 'A', 'R')
The closed subgraph is ('K', 'A', 'Y')
The closed subgraph is ('K', 'E', 'A')
The closed subgraph is ('K', 'K', 'A')
The closed subgraph is ('K', 'N', 'A')
The closed subgraph is ('K', 'O', 'A')
The closed subgraph is ('K', 'Q', 'A')
The closed subgraph is ('K', 'R', 'A')
The closed subgraph is ('K', 'Y', 'A')
The closed subgraph is ('L', 'A', 'N')
The closed subgraph is ('L', 'A', 'O')
The closed subgraph is ('L', 'N', 'A')
The closed subgraph is ('L', 'O', 'A')
The closed subgraph is ('M', 'A', 'O')
The closed subgraph is ('M', 'O', 'A')
The closed subgraph is ('N', 'A', 'A')
The closed subgraph is ('N', 'A', 'C')
The closed subgraph is ('N', 'A', 'D')
The closed subgraph is ('N', 'A', 'E')
The closed subgraph is ('N', 'A', 'K')
The closed subgraph is ('N', 'A', 'L')
The closed subgraph is ('N', 'A', 'N')
The closed subgraph is ('N', 'A', 'O')
The closed subgraph is ('N', 'A', 'Q')
The closed subgraph is ('N', 'A', 'R')
The closed subgraph is ('N', 'A', 'Y')
The closed subgraph is ('N', 'C', 'A')
The closed subgraph is ('N', 'D', 'A')
The closed subgraph is ('N', 'E', 'A')
The closed subgraph is ('N', 'K', 'A')
The closed subgraph is ('N', 'L', 'A')
The closed subgraph is ('N', 'N', 'A')
The closed subgraph is ('N', 'O', 'A')
The closed subgraph is ('N', 'Q', 'A')
The closed subgraph is ('N', 'R', 'A')
The closed subgraph is ('N', 'Y', 'A')
The closed subgraph is ('O', 'A', 'A')
The closed subgraph is ('O', 'A', 'C')
The closed subgraph is ('O', 'A', 'D')
The closed subgraph is ('O', 'A', 'E')
The closed subgraph is ('O', 'A', 'K')
The closed subgraph is ('O', 'A', 'L')
The closed subgraph is ('O', 'A', 'M')
The closed subgraph is ('O', 'A', 'N')
The closed subgraph is ('O', 'A', 'O')
The closed subgraph is ('O', 'A', 'Q')
The closed subgraph is ('O', 'A', 'R')
The closed subgraph is ('O', 'A', 'Y')
The closed subgraph is ('O', 'C', 'A')
The closed subgraph is ('O', 'D', 'A')
The closed subgraph is ('O', 'E', 'A')
The closed subgraph is ('O', 'K', 'A')
The closed subgraph is ('O', 'L', 'A')
The closed subgraph is ('O', 'M', 'A')
The closed subgraph is ('O', 'N', 'A')
The closed subgraph is ('O', 'O', 'A')
The closed subgraph is ('O', 'Q', 'A')
The closed subgraph is ('O', 'R', 'A')
The closed subgraph is ('O', 'Y', 'A')
The closed subgraph is ('Q', 'A', 'A')
The closed subgraph is ('Q', 'A', 'E')
The closed subgraph is ('Q', 'A', 'K')
The closed subgraph is ('Q', 'A', 'N')
The closed subgraph is ('Q', 'A', 'O')
The closed subgraph is ('Q', 'A', 'Q')
The closed subgraph is ('Q', 'A', 'R')
The closed subgraph is ('Q', 'A', 'Y')
The closed subgraph is ('Q', 'E', 'A')
The closed subgraph is ('Q', 'K', 'A')
The closed subgraph is ('Q', 'N', 'A')
The closed subgraph is ('Q', 'O', 'A')
The closed subgraph is ('Q', 'Q', 'A')
The closed subgraph is ('Q', 'R', 'A')
The closed subgraph is ('Q', 'Y', 'A')
The closed subgraph is ('R', 'A', 'A')
The closed subgraph is ('R', 'A', 'E')
The closed subgraph is ('R', 'A', 'K')
The closed subgraph is ('R', 'A', 'N')
The closed subgraph is ('R', 'A', 'O')
The closed subgraph is ('R', 'A', 'Q')
The closed subgraph is ('R', 'A', 'R')
The closed subgraph is ('R', 'A', 'Y')
The closed subgraph is ('R', 'E', 'A')
The closed subgraph is ('R', 'K', 'A')
The closed subgraph is ('R', 'N', 'A')
The closed subgraph is ('R', 'O', 'A')
The closed subgraph is ('R', 'Q', 'A')
The closed subgraph is ('R', 'R', 'A')
The closed subgraph is ('R', 'Y', 'A')
The closed subgraph is ('U', 'A', 'Y')
The closed subgraph is ('U', 'Y', 'A')
The closed subgraph is ('Y', 'A', 'A')
The closed subgraph is ('Y', 'A', 'E')
The closed subgraph is ('Y', 'A', 'G')
The closed subgraph is ('Y', 'A', 'K')
The closed subgraph is ('Y', 'A', 'N')
The closed subgraph is ('Y', 'A', 'O')
The closed subgraph is ('Y', 'A', 'Q')
The closed subgraph is ('Y', 'A', 'R')
The closed subgraph is ('Y', 'A', 'U')
The closed subgraph is ('Y', 'A', 'Y')
The closed subgraph is ('Y', 'E', 'A')
The closed subgraph is ('Y', 'G', 'A')
The closed subgraph is ('Y', 'K', 'A')
The closed subgraph is ('Y', 'N', 'A')
The closed subgraph is ('Y', 'O', 'A')
The closed subgraph is ('Y', 'Q', 'A')
The closed subgraph is ('Y', 'R', 'A')
The closed subgraph is ('Y', 'U', 'A')
The closed subgraph is ('Y', 'Y', 'A')
The closed subgraph is ('Y', 'Y', 'Y')
